gate_voltage,drain_voltage,channel_length,oxide_thickness,work_function,contact_resistance
0.519355165375684,1.2179844839752545,1.9435889914708812e-08,2.303552576333565e-09,4.28,1.5012941630781526e-08
0.26069125942130517,0.7335519695171112,1.4015618834067097e-08,1.6173005627147443e-09,4.28,2.031073713998318e-08
0.24583833150858356,0.7341215837206975,1.4423620374380859e-08,1.5395325949090244e-09,4.28,1.980327795123917e-08
0.24198012195893023,0.7127734787807631,1.4651176776091632e-08,1.5931111025841592e-09,4.28,1.9734282208115125e-08
0.8757813764951304,2.001119214403723,3.251462908607818e-08,3.343362535135981e-09,4.28,9.228244583898e-09
0.5213451964489143,1.1835659213801923,1.9291342085122954e-08,2.106991832001211e-09,4.28,1.555496454542349e-08
0.36277151098237126,0.8691257565287261,1.6679582418042712e-08,1.8419132858179283e-09,4.28,1.8412507635536304e-08
0.5950124428742933,1.4323422139285216,2.1328220060511238e-08,2.494645407555173e-09,4.28,1.425861790518614e-08
0.43398367430090523,1.1062184300834317,1.9922330089497386e-08,2.138297978574944e-09,4.28,1.6148733231143812e-08
0.4331648302163436,1.1148180355860418,1.975143214285637e-08,2.0111676678695955e-09,4.28,1.6410479028631067e-08
0.3856484951115482,1.0155950441411399,1.7224200039797436e-08,2.0245141947901425e-09,4.28,1.6277055166630246e-08
0.24459456584197106,0.6997106452375671,1.3912602108883186e-08,1.5749290143636073e-09,4.28,1.982945452586908e-08
0.8305245092318725,1.8020551887798084,2.6625787193325428e-08,3.0762867547403286e-09,4.28,1.1501894928060766e-08
0.5726517984380127,1.2368953941171477,2.137434781634836e-08,2.260747495400953e-09,4.28,1.4693174854778088e-08
0.8898041033510482,1.8279139685916745,3.076712529470898e-08,3.044438068889887e-09,4.28,1.0157326776773952e-08
0.553522204462929,1.2700429621054594,2.090756567805263e-08,2.1935732870015558e-09,4.28,1.4523692184281688e-08
0.20828255537597956,0.581774749796792,1.2325932017648736e-08,1.4439652444436035e-09,4.28,2.1533132713274663e-08
0.5711131634984653,1.3613341528151301,2.1619998556055213e-08,2.326894651829596e-09,4.28,1.4055821626801093e-08
0.4039500939458538,1.0102902790517552,1.8456013655604607e-08,2.0564192789438135e-09,4.28,1.6443543886173885e-08
0.30759114254306436,0.7607484621082223,1.5362847246131566e-08,1.817184528103061e-09,4.28,1.9643508611049117e-08
0.5008770665700111,1.192778757098186,2.0076986136125084e-08,2.2347328038965867e-09,4.28,1.4974495209179694e-08
0.8620328544306671,2.0890925150728665,3.1906063725195826e-08,3.438376775379639e-09,4.28,9.661522195584888e-09
0.8374315567954652,1.9341465885960551,3.042170249398562e-08,3.2533720816770897e-09,4.28,1.019322194016274e-08
0.5652550596347563,1.3119928097186153,2.0862328025885198e-08,2.3927103153844892e-09,4.28,1.352251009045103e-08
0.9214742663313873,2.127378948463599,3.4015164921683016e-08,3.758487212819758e-09,4.28,8.6116713496545e-09
0.7715318724477191,1.711263429233181,2.7098330053470157e-08,2.8870218760348844e-09,4.28,1.2242564695856928e-08
0.4764150618644425,1.253708669068554,1.953179414139319e-08,2.268015197147174e-09,4.28,1.4732498488762574e-08
